path_plotr,component,region,dataset_dash,dataset_id,src_datasets
macrofauna_MAB.Rmd-exp-n-spring.R,macrofauna,MAB,exp-n-spring,exp_n_spring,NA
macrofauna_NE.Rmd-exp-n-spring.R,macrofauna,NE,exp-n-spring,exp_n_spring,NA
human_dimensions_MAB.Rmd-fogarty.R,human_dimensions,MAB,fogarty,fogarty,NA
human_dimensions_NE.Rmd-fogarty.R,human_dimensions,NE,fogarty,fogarty,NA
macrofauna_MAB.Rmd-forage-anomaly.R,macrofauna,MAB,forage-anomaly,forage_anomaly,TRUE
macrofauna_NE.Rmd-forage-anomaly.R,macrofauna,NE,forage-anomaly,forage_anomaly,TRUE
LTL_NE.Rmd-gb-calanus-stage.R,LTL,NE,gb-calanus-stage,gb_calanus_stage,NA
macrofauna_NE.Rmd-gb-cf.R,macrofauna,NE,gb-cf,gb_cf,NA
human_dimensions_MAB.Rmd-GIS-setup.R,human_dimensions,MAB,GIS-setup,GIS_setup,NA
human_dimensions_NE.Rmd-GIS-setup.R,human_dimensions,NE,GIS-setup,GIS_setup,NA
macrofauna_MAB.Rmd-GIS-setup.R,macrofauna,MAB,GIS-setup,GIS_setup,NA
macrofauna_NE.Rmd-GIS-setup.R,macrofauna,NE,GIS-setup,GIS_setup,NA
LTL_NE.Rmd-gom-calanus-stage.R,LTL,NE,gom-calanus-stage,gom_calanus_stage,NA
LTL_NE.Rmd-gom-calanus-stage-old.R,LTL,NE,gom-calanus-stage-old,gom_calanus_stage_old,NA
macrofauna_NE.Rmd-gom-cf.R,macrofauna,NE,gom-cf,gom_cf,NA
macrofauna_MAB.Rmd-grayseal.R,macrofauna,MAB,grayseal,grayseal,TRUE
macrofauna_MAB.Rmd-grayseal-mab.R,macrofauna,MAB,grayseal-mab,grayseal_mab,NA
LTL_MAB.Rmd-gsi.R,LTL,MAB,gsi,gsi,TRUE
LTL_MAB.Rmd-gsi-old.R,LTL,MAB,gsi-old,gsi_old,TRUE
NA,NA,NA,NA,habitat_occupancy,TRUE
NA,NA,NA,NA,habitat_vulnerability,TRUE
LTL_MAB.Rmd-habitat-vulnerability-mab.R,LTL,MAB,habitat-vulnerability-mab,habitat_vulnerability_mab,NA
LTL_NE.Rmd-habitat-vulnerability-ne.R,LTL,NE,habitat-vulnerability-ne,habitat_vulnerability_ne,NA
macrofauna_MAB.Rmd-harborporpoise.R,macrofauna,MAB,harborporpoise,harborporpoise,TRUE
LTL_MAB.Rmd-heatwave.R,LTL,MAB,heatwave,heatwave,TRUE
LTL_NE.Rmd-heatwave.R,LTL,NE,heatwave,heatwave,TRUE
LTL_MAB.Rmd-heatwave-anom-gridded.R,LTL,MAB,heatwave-anom-gridded,heatwave_anom_gridded,TRUE
LTL_NE.Rmd-heatwave-anom-gridded-gb.R,LTL,NE,heatwave-anom-gridded-gb,heatwave_anom_gridded_gb,NA
LTL_NE.Rmd-heatwave-anom-gridded-gom.R,LTL,NE,heatwave-anom-gridded-gom,heatwave_anom_gridded_gom,NA
LTL_NE.Rmd-heatwave-gb.R,LTL,NE,heatwave-gb,heatwave_gb,NA
LTL_NE.Rmd-heatwave-gom.R,LTL,NE,heatwave-gom,heatwave_gom,NA
LTL_NE.Rmd-heatwave_image.R,LTL,NE,heatwave_image,heatwave_image,NA
NA,NA,NA,NA,heatwave_peak_date,TRUE
LTL_MAB.Rmd-heatwave-year.R,LTL,MAB,heatwave-year,heatwave_year,TRUE
LTL_NE.Rmd-heatwave-year-gb.R,LTL,NE,heatwave-year-gb,heatwave_year_gb,NA
LTL_NE.Rmd-heatwave-year-gom.R,LTL,NE,heatwave-year-gom,heatwave_year_gom,NA
macrofauna_MAB.Rmd-hms-all-cpue.R,macrofauna,MAB,hms-all-cpue,hms_all_cpue,NA
NA,NA,NA,NA,hms_category,TRUE
human_dimensions_MAB.Rmd-hms-comm-revenue.R,human_dimensions,MAB,hms-comm-revenue,hms_comm_revenue,NA
human_dimensions_NE.Rmd-hms-comm-revenue.R,human_dimensions,NE,hms-comm-revenue,hms_comm_revenue,NA
human_dimensions_NE.Rmd-hms-commercial-landings.R,human_dimensions,NE,hms-commercial-landings,hms_commercial_landings,NA
NA,NA,NA,NA,hms_cpue,TRUE
macrofauna_MAB.Rmd-hms-cpue-sharks.R,macrofauna,MAB,hms-cpue-sharks,hms_cpue_sharks,NA
NA,NA,NA,NA,hms_landings,TRUE
human_dimensions_MAB.Rmd-hms-landings-comdat-commercial_landings.R,human_dimensions,MAB,hms-landings-comdat-commercial_landings,hms_landings_comdat_commercial_landings,NA
human_dimensions_NE.Rmd-hms-landings-comdat-commercial-landings.R,human_dimensions,NE,hms-landings-comdat-commercial-landings,hms_landings_comdat_commercial_landings,NA
macrofauna_MAB.Rmd-hms-tuna-cpue.R,macrofauna,MAB,hms-tuna-cpue,hms_tuna_cpue,NA
NA,NA,NA,NA,hp_density,TRUE
macrofauna_MAB.Rmd-ichthyo-diversity.R,macrofauna,MAB,ichthyo-diversity,ichthyo_diversity,TRUE
macrofauna_NE.Rmd-ichthyo-diversity.R,macrofauna,NE,ichthyo-diversity,ichthyo_diversity,TRUE
macrofauna_NE.Rmd-ichthyo-diversity2.R,macrofauna,NE,ichthyo-diversity2,ichthyo_diversity2,NA
LTL_MAB.Rmd-long-term-sst.R,LTL,MAB,long-term-sst,long_term_sst,TRUE
macrofauna_NE.Rmd-ma-inshore-survey.R,macrofauna,NE,ma-inshore-survey,ma_inshore_survey,NA
macrofauna_MAB.Rmd-mab-cf.R,macrofauna,MAB,mab-cf,mab_cf,NA
macrofauna_MAB.Rmd-mab-inshore-survey.R,macrofauna,MAB,mab-inshore-survey,mab_inshore_survey,TRUE
LTL_MAB.Rmd-mab-oa.R,LTL,MAB,mab-oa,mab_oa,NA
LTL_MAB.Rmd-mab-oa-glider.R,LTL,MAB,mab-oa-glider,mab_oa_glider,NA
NA,NA,NA,NA,mass_inshore_survey,TRUE
human_dimensions_MAB.Rmd-mtl.R,human_dimensions,MAB,mtl,mtl,NA
human_dimensions_NE.Rmd-mtl.R,human_dimensions,NE,mtl,mtl,NA
NA,NA,NA,NA,nao,TRUE
NA,NA,NA,NA,narw,TRUE
macrofauna_MAB.Rmd-narw-abundance.R,macrofauna,MAB,narw-abundance,narw_abundance,NA
macrofauna_MAB.Rmd-NARW-calf-abundance.R,macrofauna,MAB,"NARW-calf-abundance","NARW_calf_abundance",NA
macrofauna_NE.Rmd-ne-inshore-survey.R,macrofauna,NE,ne-inshore-survey,ne_inshore_survey,TRUE
NA,NA,NA,NA,ne_inshore_survey_species,TRUE
LTL_NE.Rmd-ne-sm-lg.R,LTL,NE,ne-sm-lg,ne_sm_lg,NA
NA,NA,NA,NA,ne_wind,TRUE
NA,NA,NA,NA,nefsc_survey,TRUE
NA,NA,NA,NA,nefsc_survey_disaggregated,TRUE
macrofauna_MAB.Rmd-nefsc-survey-disaggregated-mafmc-spp-in-ne.R,macrofauna,MAB,nefsc-survey-disaggregated-mafmc-spp-in-ne,nefsc_survey_disaggregated_mafmc_spp_in_ne,NA
